0,Number of hours worked directly with partner organization members
2023-01-31,47.0
2023-02-28,46.0
2023-03-31,55.0
2023-04-30,37.0
2023-05-31,41.5
2023-06-30,36.67
2023-07-31,20.0
2023-08-31,48.0
2023-09-30,91.0
2023-10-31,39.5
2023-11-30,11.0
2023-12-31,11.0
2024-01-31,0.0
2024-02-29,22.5
2024-03-31,3.5
2024-04-30,24.5
